left_knee,right_knee,left_hip,right_hip,label
70,84,64,71,Good
70,84,64,70,Good
68,80,61,65,Good
68,91,63,76,Good
69,84,60,70,Good
69,80,61,66,Good
70,79,61,65,Good
71,92,66,74,Good
78,93,69,77,Good
76,89,70,71,Good
82,96,73,80,Good
84,97,74,78,Good
120,123,114,112,Good
147,152,133,130,Good
75,84,61,67,Good
77,92,66,74,Good
72,85,65,70,Good
70,82,65,68,Good
75,88,65,69,Good
126,127,116,115,Good
125,127,116,115,Good
104,103,100,93,Good
107,101,99,92,Good
106,100,98,88,Good
103,95,97,90,Good
100,95,95,89,Good
113,94,100,87,Good
96,95,93,85,Good
106,93,97,84,Good
84,91,88,82,Good
101,88,93,79,Good
102,84,91,78,Good
101,84,91,76,Good
96,82,88,75,Good
93,79,87,74,Good
87,78,83,74,Good
82,80,80,74,Good
76,76,77,72,Good
79,74,76,70,Good
75,74,74,70,Good
81,75,75,67,Good
79,72,74,68,Good
81,73,76,67,Good
75,72,73,67,Good
84,72,78,66,Good
74,71,70,66,Good
80,72,72,66,Good
75,71,71,65,Good
73,71,71,66,Good
77,72,70,66,Good
81,73,71,65,Good
80,73,72,66,Good
77,73,70,67,Good
80,73,73,63,Good
80,75,73,64,Good
76,76,71,72,Good
77,76,72,73,Good
79,79,73,74,Good
79,81,73,74,Good
86,83,80,74,Good
87,85,83,77,Good
93,84,85,78,Good
92,86,86,81,Good
97,89,87,82,Good
98,92,88,83,Good
100,95,90,82,Good
104,96,93,85,Good
101,98,91,85,Good
98,99,91,89,Good
112,113,99,95,Good
111,110,98,93,Good
100,96,92,84,Good
96,93,89,83,Good
96,94,88,81,Good
88,92,84,77,Good
92,91,87,78,Good
89,89,84,74,Good
101,89,90,77,Good
93,85,86,76,Good
87,83,82,73,Good
83,82,80,74,Good
81,81,79,73,Good
80,78,78,71,Good
79,77,77,70,Good
81,77,77,70,Good
77,76,75,69,Good
74,76,75,68,Good
76,73,72,65,Good
77,74,76,65,Good
73,73,73,64,Good
72,72,74,64,Good
70,71,71,63,Good
71,71,71,64,Good
70,70,68,63,Good
71,69,70,63,Good
72,70,71,64,Good
71,71,69,63,Good
73,70,68,64,Good
71,72,70,64,Good
74,72,71,65,Good
76,73,73,66,Good
78,75,75,66,Good
76,76,73,68,Good
73,76,70,67,Good
76,78,73,69,Good
80,83,74,71,Good
88,83,80,70,Good
88,86,80,73,Good
98,88,86,75,Good
92,90,84,75,Good
91,92,84,75,Good
97,94,85,78,Good
97,94,85,79,Good
101,97,88,81,Good
105,98,90,83,Good
105,102,91,86,Good
77,71,70,68,Good
75,70,71,68,Good
164,170,160,154,Bad
97,98,94,91,Bad
94,94,93,87,Bad
98,89,91,83,Bad
91,88,88,81,Bad
91,86,88,80,Bad
86,84,86,78,Bad
97,82,92,78,Bad
79,82,83,77,Bad
78,80,84,76,Bad
87,78,88,77,Bad
76,77,84,75,Bad
75,77,82,74,Bad
71,78,80,72,Bad
72,74,79,74,Bad
67,74,78,73,Bad
67,74,79,72,Bad
63,70,76,71,Bad
67,70,76,70,Bad
64,70,73,69,Bad
64,69,74,69,Bad
63,68,75,70,Bad
62,67,75,70,Bad
63,65,74,69,Bad
62,65,74,70,Bad
63,65,74,70,Bad
62,66,75,69,Bad
66,68,73,69,Bad
64,71,74,69,Bad
65,71,74,70,Bad
68,74,74,71,Bad
70,76,76,72,Bad
77,78,80,74,Bad
79,79,82,77,Bad
84,81,84,76,Bad
89,85,87,79,Bad
89,87,88,82,Bad
95,90,91,84,Bad
89,94,89,87,Bad
90,95,90,89,Bad
91,97,93,91,Bad
97,99,97,94,Bad
100,98,98,94,Bad
94,93,95,90,Bad
91,89,92,88,Bad
81,88,89,88,Bad
95,85,94,85,Bad
94,82,94,83,Bad
94,80,94,82,Bad
93,80,95,81,Bad
90,78,94,80,Bad
72,77,84,79,Bad
68,73,81,76,Bad
70,74,83,75,Bad
70,72,84,76,Bad
70,72,82,75,Bad
66,71,80,75,Bad
66,68,79,74,Bad
64,68,78,73,Bad
63,68,78,72,Bad
65,68,79,73,Bad
64,67,78,71,Bad
65,68,78,72,Bad
67,69,77,72,Bad
70,72,81,74,Bad
74,77,83,79,Bad
91,79,94,81,Bad
84,80,89,81,Bad
95,82,97,84,Bad
93,91,95,91,Bad
100,96,101,96,Bad
62,67,74,70,Bad
163,170,161,157,Bad
162,166,157,152,Bad
164,166,158,153,Bad
130,124,94,97,Bad
141,132,116,120,Bad
101,92,57,56,Bad
104,98,64,64,Bad
104,98,64,64,Bad
114,101,77,73,Bad
117,106,85,84,Bad
122,107,91,86,Bad
127,116,98,100,Bad
128,119,106,111,Bad
128,119,106,109,Bad
